"","x"
"40","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Other.students"
"41","B.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program._Buddy.or.tutor.system"
"42","B.1.4.How.could.orientation.and.integration.experience.have.been.improved._Open.Ended.Response"
"43","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Academic.staff"
"44","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Administrative.staff"
"45","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._University.facilities"
"46","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Library"
"47","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._International.Student.Office"
"48","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Student.associations"
"49","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Other.students"
"50","B.2.1.Rate.the.helpfulness.of.the.following.units.of.people._Buddy.or.tutor.system"
"51","B.2.2.Rate.the.support.received.on.the.following.issues._Financial.issues"
"52","B.2.2.Rate.the.support.received.on.the.following.issues._Health.insurance"
"53","B.2.2.Rate.the.support.received.on.the.following.issues._Inappropriate.conduct.or.sexual.harassment.issues"
"54","C.1.Rate.the.following.items._Consistency.of.module.s.assessment.across.universities"
"55","C.1.Rate.the.following.items._Clarity.of.evaluation.criteria.across.universities"
"56","C.1.Rate.the.following.items._Grade.conversion.across.universities"
"57","C.1.Rate.the.following.items._Feedback.on.evaluation.results.and.grades"
"58","C.1.Rate.the.following.items._Formalised.system.by.university.consortium.for.students.to.share.opinions.and.feedback.on.course"
"59","C.1.Rate.the.following.items._Implementation.of.recommendations.given.by.students.to.improve.EM.course.experience"
"60","C.1.Rate.the.following.items._Information.provided.about.the.type.of.degree.s.to.be.awarded"
"61","C.1.Rate.the.following.items._Information.provided.about.provision.of.certificates.and.transcripts"
"62","C.1.Rate.the.following.items._Availability.of.course.coordinator.to.discuss.questions.or.problems.related.to.my.studies.and.mobility.experience."
"63","C.1.Rate.the.following.items._The.willingness.and.ability.of.the.course.coordinator.to.follow.up.on.unresolved.issues.addressed"
"64","C.2.Did.the.required.mobility.path.of.EM.course.meet.academic.needs._Response"
"65","C.2.Did.the.required.mobility.path.of.EM.course.meet.academic.needs._Other.please.specify."
"66","C.2.a.Please.explain.how.the.mobility.requirement.met.academic.needs._Open.Ended.Response"
"67","C.3.Please.rate.academic.satisfaction.with.EM.course._"
"68","C.3.a.Please.explain.answer.regarding.the.academic.satisfaction.with.course._Open.Ended.Response"
"69","C.4.Please.rate.overall.satisfaction.with.EM.course._"
"70","C.4.a.Please.explain.answer.regarding.the.overall.satisfaction.with.course._Open.Ended.Response"
"71","I.am.currently._Response"
"72","I.am.currently._Other.please.specify."
"73","Indicate.the.number.of.universities.you.have.attended.as.part.of.Erasmus.Mundus.course_Response"
"74","J.1.Please.answer._Are.you.aware.of.the.existence.of.the.Erasmus.Mundus.Students.and.Alumni.Association."
"75","X.153_Are.you.aware.that.each.programme.can.elect.an.EMA.Programme.Representative."
"76","J.2.What.do.you.think.is.the.most.important.issue.course.representatives.should.address._Open.Ended.Response"
"77","K.1.Please.share.any.final.comments.about.Erasmus.Mundus.experience.that.you.find.relevant._Open.Ended.Response"
"78","K.2.How.satisfied.are.you.with.the.contents.of.this.survey._"
"79","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Accommodation"
"80","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Visa.issues"
"81","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Banking"
"82","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Language.courses"
"83","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Health.insurance"
"84","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Estimation.of.living.expenses"
"85","N.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.first.university._Local.transportation"
"86","N.1.2.Rate.the.overall.orientation.welcoming.program.provided.upon.arrival.to.the.first.university._"
"87","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Academic.staff"
"88","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Administrative.staff"
"89","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._University.facilities"
"90","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Library"
"91","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._International.Student.Office"
"92","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Student.associations"
"93","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Other.students"
"94","N.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.first.university._Buddy.or.tutor.system"
"95","N.1.4.How.could.orientation.and.integration.experience.at.the.first.university.have.been.improved._Open.Ended.Response"
"96","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Academic.staff"
"97","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Administrative.staff"
"98","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._University.facilities"
"99","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Library"
"100","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Health.services"
"101","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._International.Student.Office"
"102","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Student.associations"
"103","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Other.students"
"104","N.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.first.university._Buddy.or.tutor.system"
"105","N.2.2.Rate.the.following.items.for.first.university._Availability.of.extracurricular.activities"
"106","N.2.2.Rate.the.following.items.for.first.university._Quality.of.extracurricular.activities"
"107","N.3.1.Rate.the.following.items._Feedback.on.evaluation.results.and.grades"
"108","N.3.1.Rate.the.following.items._Formalised.system.through.which.students.can.share.their.opinions.and.provide.feedback.on.the.EM.course"
"109","N.3.1.Rate.the.following.items._Implementation.of.recommendations.given.by.students.to.improve.EM.course.experience"
"110","N.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.courses"
"111","N.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.services.offered"
"112","N.3.1.Rate.the.following.items._The.quality.of.the.feedback.channels.at.the.first.university"
"113","N.3.2.What.recommendations.would.you.give.to.build.or.improve.student.feedback.channels.at.the.first.university._Open.Ended.Response"
"114","N.4.1.Please.rate.the.following.items._Workload.of.the.modules.courses"
"115","N.4.1.Please.rate.the.following.items._Skills.development"
"116","N.4.1.Please.rate.the.following.items._Use.of.innovative.technology.in.lectures."
"117","N.4.1.Please.rate.the.following.items._Use.of.student.centered.learning.strategies.in.lectures"
"118","N.4.1.Please.rate.the.following.items._Academic.support.and.advice.from.lecturers"
"119","N.4.1.Please.rate.the.following.items._Overall.quality.of.teaching.at.the.first.university"
"120","N.5.1.Please.rate.overall.satisfaction.at.the.first.university._"
"121","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Accommodation"
"122","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Visa.issues"
"123","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Banking"
"124","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Language.courses"
"125","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Health.insurance"
"126","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Estimation.of.living.expenses"
"127","O.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.second.university._Local.transportation"
"128","O.1.2.Rate.the.overall.orientation.welcoming.program.provided.upon.arrival.to.the.second.university._"
"129","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Academic.staff"
"130","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Administrative.staff"
"131","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._University.facilities"
"132","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Library"
"133","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._International.Student.Office"
"134","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Student.associations"
"135","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Other.students"
"136","O.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.second.university._Buddy.or.tutor.system"
"137","O.1.4.How.could.orientation.and.integration.experience.have.been.improved.at.the.second.university._Open.Ended.Response"
"138","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Academic.staff"
"139","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Administrative.staff"
"140","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._University.facilities"
"141","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Library"
"142","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Health.services"
"143","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._International.Student.Office"
"144","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Student.associations"
"145","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Other.students"
"146","O.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.second.university._Buddy.or.tutor.system"
"147","O.2.2.Rate.the.following.items._Availability.of.extracurricular.activities"
"148","O.2.2.Rate.the.following.items._Quality.of.extracurricular.activities"
"149","O.3.1.Rate.the.following.items._Feedback.on.evaluation.results.and.grades"
"150","O.3.1.Rate.the.following.items._Formalised.system.through.which.students.can.share.their.opinions.and.provide.feedback.on.the.EM.course"
"151","O.3.1.Rate.the.following.items._Implementation.of.recommendations.given.by.students.to.improve.EM.course.experience"
"152","O.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.courses"
"153","O.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.services.offered"
"154","O.3.1.Rate.the.following.items._The.quality.of.the.feedback.channels.at.the.second.university"
"155","O.3.2.What.recommendations.would.you.give.to.build.or.improve.student.feedback.channels.at.the.second.university._Open.Ended.Response"
"156","O.4.1.Please.rate.the.following.items._Workload.of.the.modules.courses"
"157","O.4.1.Please.rate.the.following.items._Skills.development"
"158","O.4.1.Please.rate.the.following.items._Use.of.innovative.technology.in.lectures."
"159","O.4.1.Please.rate.the.following.items._Use.of.student.centered.learning.strategies.in.lectures"
"160","O.4.1.Please.rate.the.following.items._Academic.support.and.advice.from.lecturers"
"161","O.4.1.Please.rate.the.following.items._Overall.quality.of.teaching.at.the.second.university"
"162","O.5.1.Please.rate.overall.satisfaction.at.the.second.university._"
"163","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Accommodation"
"164","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Visa.issues"
"165","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Banking"
"166","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Language.courses"
"167","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Health.insurance"
"168","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Estimation.of.living.expenses"
"169","P.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.third.university._Local.transportation"
"170","P.1.2.Rate.the.overall.orientation.welcoming.program.provided.upon.arrival.to.the.third.university._"
"171","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Academic.staff"
"172","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Administrative.staff"
"173","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._University.facilities"
"174","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Library"
"175","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._International.Student.Office"
"176","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Student.associations"
"177","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Other.students"
"178","P.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.third.university._Buddy.or.tutor.system"
"179","P.1.4.How.could.orientation.and.integration.experience.have.been.improved.at.the.third.university._Open.Ended.Response"
"180","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Academic.staff"
"181","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Administrative.staff"
"182","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._University.facilities"
"183","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Library"
"184","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Health.services"
"185","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._International.Student.Office"
"186","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Student.associations"
"187","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Other.students"
"188","P.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.third.university._Buddy.or.tutor.system"
"189","P.2.2.Rate.the.following.items._Availability.of.extracurricular.activities"
"190","P.2.2.Rate.the.following.items._Quality.of.extracurricular.activities"
"191","P.3.1.Rate.the.following.items._Feedback.on.evaluation.results.and.grades"
"192","P.3.1.Rate.the.following.items._Formalised.system.through.which.students.can.share.their.opinions.and.provide.feedback.on.the.EM.course"
"193","P.3.1.Rate.the.following.items._Implementation.of.recommendations.given.by.students.to.improve.EM.course.experience"
"194","P.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.courses"
"195","P.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.services.offered"
"196","P.3.1.Rate.the.following.items._The.quality.of.the.feedback.channels.at.the.third.university"
"197","P.3.2.What.recommendations.would.you.give.to.build.or.improve.student.feedback.channels.at.the.third.university._Open.Ended.Response"
"198","P.4.1.Please.rate.the.following.items._Workload.of.the.modules.courses"
"199","P.4.1.Please.rate.the.following.items._Skills.development"
"200","P.4.1.Please.rate.the.following.items._Use.of.innovative.technology.in.lectures."
"201","P.4.1.Please.rate.the.following.items._Use.of.student.centered.learning.strategies.in.lectures"
"202","P.4.1.Please.rate.the.following.items._Academic.support.and.advice.from.lecturers"
"203","P.4.1.Please.rate.the.following.items._Overall.quality.of.teaching.at.the.third.university"
"204","P.5.1.Please.rate.overall.satisfaction.at.the.third.university._"
"205","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Accommodation"
"206","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Visa.issues"
"207","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Banking"
"208","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Language.courses"
"209","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Health.insurance"
"210","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Estimation.of.living.expenses"
"211","Q.1.1.Rate.the.following.items.regarding.the.logistic.information.and.support.received.before.the.beginning.of.studies.in.the.fourth.university._Local.transportation"
"212","Q.1.2.Rate.the.overall.orientation.welcoming.program.provided.upon.arrival.to.the.fourth.university._"
"213","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Academic.staff"
"214","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Administrative.staff"
"215","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._University.facilities"
"216","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Library"
"217","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._International.Student.Office"
"218","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Student.associations"
"219","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Other.students"
"220","Q.1.3.Rate.the.introduction.process.to.the.following.units.or.people.as.part.of.the.orientation.program.at.the.fourth.university._Buddy.or.tutor.system"
"221","Q.1.4.How.could.orientation.and.integration.experience.have.been.improved.at.the.fourth.university._Open.Ended.Response"
"222","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Academic.staff"
"223","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Administrative.staff"
"224","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._University.facilities"
"225","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Library"
"226","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Health.services"
"227","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._International.Student.Office"
"228","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Student.associations"
"229","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Other.students"
"230","Q.2.1.Rate.the.helpfulness.of.the.following.units.of.people.at.the.fourth.university._Buddy.or.tutor.system"
"231","Q.2.2.Rate.the.following.items._Availability.of.extracurricular.activities"
"232","Q.2.2.Rate.the.following.items._Quality.of.extracurricular.activities"
"233","Q.3.1.Rate.the.following.items._Feedback.on.evaluation.results.and.grades"
"234","Q.3.1.Rate.the.following.items._Formalised.system.through.which.students.can.share.their.opinions.and.provide.feedback.on.the.EM.course"
"235","Q.3.1.Rate.the.following.items._Implementation.of.recommendations.given.by.students.to.improve.EM.course.experience"
"236","Q.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.courses"
"237","Q.3.1.Rate.the.following.items._Ability.to.provide.feedback.on.the.quality.of.services.offered"
"238","Q.3.1.Rate.the.following.items._The.quality.of.the.feedback.channels.at.the.fourth.university"
"239","Q.3.2.What.recommendations.would.you.give.to.build.or.improve.student.feedback.channels.at.the.fourth.university._Open.Ended.Response"
"240","Q.4.1.Please.rate.the.following.items._Workload.of.the.modules.courses"
"241","Q.4.1.Please.rate.the.following.items._Skills.development"
"242","Q.4.1.Please.rate.the.following.items._Use.of.innovative.technology.in.lectures."
"243","Q.4.1.Please.rate.the.following.items._Use.of.student.centered.learning.strategies.in.lectures"
"244","Q.4.1.Please.rate.the.following.items._Academic.support.and.advice.from.lecturers"
"245","Q.4.1.Please.rate.the.following.items._Overall.quality.of.teaching.at.the.fourth.university"
"246","Q.5.1.Please.rate.overall.satisfaction.at.the.fourth.university._"
"247","L.1.What.is.your.current.occupational.status"
"248","L.2.Did.course.include.a.mandatory.internship._Response"
"249","L.2.a.Rate.the.following.statements.about.internship._Relevance.to.field.of.study"
"250","L.2.a.Rate.the.following.statements.about.internship._Timing.of.internship"
"251","L.2.a.Rate.the.following.statements.about.internship._Duration.of.internship"
"252","L.2.a.Rate.the.following.statements.about.internship._Supervision.during.internship"
"253","L.2.a.Rate.the.following.statements.about.internship._Value.for.future.career"
"254","L.2.a.Rate.the.following.statements.about.internship._Logistic.support"
"255","L.2.a.Rate.the.following.statements.about.internship._Overall.quality.of.the.internship"
"256","L.3.Did.course.include.mandatory.field.work._Response"
"257","L.3.a.Rate.the.following.statements.about.field.experience._Relevance.to.field.of.study"
"258","L.3.a.Rate.the.following.statements.about.field.experience._Timing.of.field.experience"
"259","L.3.a.Rate.the.following.statements.about.field.experience._Duration.of.field.experience"
"260","L.3.a.Rate.the.following.statements.about.field.experience._Supervision.during.field.experience"
"261","L.3.a.Rate.the.following.statements.about.field.experience._Value.for.future.career"
"262","L.3.a.Rate.the.following.statements.about.field.experience._Logistic.support"
"263","L.3.a.Rate.the.following.statements.about.field.experience._Overall.quality.of.field.experience"
"264","L.4.Please.rate.the.following.statements.on.first.thesis.supervisor._My.supervisor.provided.valuable.advice.during.my.thesis.work."
"265","L.4.Please.rate.the.following.statements.on.first.thesis.supervisor._My.supervisor.was.available.for.periodic.meetings."
"266","L.5.Please.rate.the.following.statements.on.second.thesis.supervisor._My.supervisor.provided.valuable.advice.during.my.thesis.work."
"267","L.5.Please.rate.the.following.statements.on.second.thesis.supervisor._My.supervisor.was.available.for.periodic.meetings."
"268","L.5.Please.rate.the.following.statements.on.second.thesis.supervisor._My.second.supervisor.was.available.for.consultation.if.the.lead.supervisor.was.unavailable."
"269","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.feel.my.Erasmus.Mundus.course.has.prepared.me.for.my.future.chosen.career"
"270","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.feel.optimistic.about.my.opportunities.for.employment"
"271","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.was.well.advised.by.my.course.on.future.education.options"
"272","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._My.soft.skills.were.improved.by.my.course"
"273","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._The.course.has.enabled.academic.and.personal.achievement.beyond.my.initial.expectations"
"274","L.1.a.In.what.way.could.course.have.supported.you.better.to.find.a.job._Open.Ended.Response"
"275","L.2.a.Rate.the.following.statements.about.internship._Relevance.of.internship.to.current.career"
"276","L.3.a.Rate.the.following.statements.about.field.experience._Relevance.of.internship.to.current.career"
"277","L.3.a.Rate.the.following.statements.about.field.experience._Overall.quality.of.field.experience_2"
"278","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._My.transcripts.and.certificates.were.provided.in.a.timely.manner"
"279","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.feel.my.Erasmus.Mundus.course.prepared.me.for.my.career"
"280","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.feel.satisfied.now.about.my.former.experience.as.an.Erasmus.Mundus.student"
"281","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.believe.my.course.helped.me.achieve.my.current.position.if.employed.or.student."
"282","L.6.Rate.the.following.statements.regarding.personal.development.during.EM.course._I.am.satisfied.with.my.current.position"
"283","L.7.Please.answer.the.following.questions._Did.you.recommend.the.Erasmus.Mundus.program.to.other.prospective.students."
